Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites,Sites_IDs
(BsiSI OR MspI) AND (BspQI OR LguI OR SapI),217_317,60_160,23.935292254,27.57,442.456,93.06,3.65771916288212,0.913050715737804,0.25|0.2,72,S011;S021;S026;S032;S034;S035;S046;S048;S053;S065;S066;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S205;S207;S213;S218;S223;S227;S236;S238;S241;S242;S246;S259;S260;S267;S268;S274;S275;S278;S285;S286;S287;S289;S292;S296;S301;S310;S312;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BmeT110I OR BsoBI) AND (BtgI),197_397,40_240,21.740386793,25.04,416.161,98.95,3.67288192061834,0.905019434336197,0.25|0.2,63,S025;S026;S029;S033;S035;S048;S053;S055;S064;S065;S072;S075;S083;S085;S097;S109;S114;S115;S116;S124;S127;S141;S145;S153;S159;S160;S161;S162;S172;S187;S192;S193;S198;S200;S205;S207;S216;S221;S225;S235;S238;S240;S259;S269;S275;S276;S277;S283;S289;S296;S300;S313;S328;S330;S334;S339;S342;S343;S344;S346;S347;S349;S352
(BssAI) AND (BsiSI OR MspI),197_317,40_160,25.835865721,29.76,512.505,80.34,3.68836289678563,0.906617064143745,0.25|0.2,78,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(CspAI) AND (BsiSI OR MspI),197_317,40_160,25.835865721,29.76,513.197,80.24,3.68894889901059,0.906725559806613,0.25|0.2,78,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsiSI OR MspI),197_317,40_160,25.835865721,29.76,513.23,80.23,3.68897682446054,0.906714726973274,0.25|0.2,78,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BamHI) AND (BsiSI OR MspI),217_317,60_160,22.194914846,25.56,442.477,93.06,3.69052502655719,0.925697827519630,0.25|0.2,70,S011;S025;S026;S032;S034;S035;S048;S053;S065;S066;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S190;S192;S194;S201;S204;S207;S213;S218;S223;S227;S238;S241;S242;S246;S259;S260;S262;S267;S268;S274;S275;S285;S286;S287;S289;S292;S295;S296;S310;S312;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsiSI OR MspI) AND (CsiI OR MabI OR SexAI),237_377,80_220,22.940030255,26.42,458.351,89.84,3.69149200559659,0.936942529835840,0.25|0.2,79,S006;S011;S016;S028;S032;S035;S053;S065;S072;S073;S083;S087;S097;S100;S101;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S139;S148;S151;S153;S155;S157;S166;S167;S183;S185;S192;S193;S194;S201;S204;S205;S213;S218;S223;S227;S228;S238;S239;S240;S241;S242;S246;S259;S260;S261;S262;S268;S274;S278;S285;S286;S287;S288;S289;S292;S296;S297;S298;S301;S310;S312;S315;S317;S332;S335;S342;S349;S351;S352
(BsiSI OR MspI) AND (MssI),197_317,40_160,25.835865721,29.76,517.08,79.63,3.69222253019516,0.906929825030431,0.25|0.2,78,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsiSI OR MspI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),217_317,60_160,21.951027752,25.28,440.023,93.58,3.69290832757103,0.935848906513920,0.25|0.2,71,S011;S026;S032;S034;S035;S048;S053;S065;S066;S071;S072;S083;S087;S088;S097;S102;S107;S109;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S225;S227;S238;S241;S242;S246;S259;S260;S262;S267;S268;S274;S275;S285;S286;S287;S289;S292;S296;S310;S312;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsiSI OR MspI) AND (PaeI OR SphI),217_317,60_160,23.480150274,27.04,470.985,87.43,3.69319401252536,0.916834057075844,0.25|0.2,72,S011;S026;S032;S034;S035;S048;S053;S065;S066;S071;S083;S087;S088;S097;S099;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S235;S238;S241;S242;S246;S259;S260;S261;S262;S267;S268;S274;S275;S285;S286;S287;S289;S292;S296;S310;S312;S324;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BlpI OR Bpu1102I) AND (BsiSI OR MspI),217_317,60_160,23.452082366,27.01,477.213,86.29,3.69941866393398,0.920153683173714,0.25|0.2,71,S009;S011;S026;S032;S034;S035;S048;S053;S065;S066;S083;S085;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S153;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S238;S241;S242;S243;S246;S259;S260;S262;S267;S274;S275;S276;S285;S287;S289;S292;S296;S298;S310;S312;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(SfuI) AND (BsiSI OR MspI),197_317,40_160,26.084428356,30.04,531.255,77.51,3.69980951571950,0.913199565569998,0.25|0.2,79,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S090;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S327;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsiSI OR MspI) AND (PacI),197_317,40_160,25.835865721,29.76,527.278,78.09,3.70070444138698,0.907183680010321,0.25|0.2,78,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BmtI OR BspOI) AND (BsiSI OR MspI),237_377,80_220,22.118792282,25.47,451.898,91.12,3.70116681781008,0.945533502789983,0.25|0.2,72,S011;S016;S032;S035;S053;S065;S072;S073;S083;S087;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S139;S148;S155;S157;S167;S183;S185;S191;S192;S193;S194;S196;S201;S204;S205;S213;S218;S223;S227;S228;S238;S239;S240;S241;S242;S246;S259;S260;S261;S262;S268;S274;S285;S286;S287;S288;S289;S292;S296;S297;S298;S310;S312;S315;S317;S332;S335;S342;S349;S351;S352
(BsiSI OR MspI) AND (Sfr274I),197_317,40_160,26.345436306,30.34,539.304,76.35,3.70201605488092,0.904041635191566,0.25|0.2,81,S011;S026;S032;S034;S035;S037;S047;S048;S053;S055;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S141;S148;S155;S157;S161;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsaWI) AND (BsiSI OR MspI),197_317,40_160,24.9810811,28.77,513.023,80.26,3.70341341540891,0.910626646681878,0.25|0.2,77,S011;S026;S032;S034;S035;S037;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsiSI OR MspI) AND (SbfI OR SdaI OR Sse8387I),197_317,40_160,25.838180814,29.76,532.383,77.34,3.70485005484135,0.906778875709936,0.25|0.2,79,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S317;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsiSI OR MspI) AND (SmiI OR SwaI),197_317,40_160,25.835865721,29.76,532.477,77.33,3.70496564350551,0.907261648050630,0.25|0.2,78,S011;S026;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S114;S116;S118;S121;S122;S124;S127;S129;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
(BsaWI) AND (BtgI),237_977,80_820,24.004214971,27.65,497.17,82.82,3.70710521604654,0.890134460591843,0.25|0.2,69,S015;S016;S021;S026;S029;S033;S034;S037;S045;S047;S053;S055;S056;S063;S065;S066;S067;S072;S075;S085;S088;S097;S102;S103;S109;S111;S114;S123;S129;S141;S145;S148;S151;S159;S160;S162;S173;S175;S183;S198;S205;S213;S216;S218;S221;S227;S238;S241;S246;S254;S261;S262;S267;S275;S285;S286;S287;S296;S315;S317;S329;S334;S339;S342;S343;S344;S346;S349;S352
(BauI OR BssSI) AND (BsiSI OR MspI),237_377,80_220,22.098513175,25.45,462.803,88.97,3.71192091962181,0.904700792259948,0.25|0.2,74,S011;S016;S019;S032;S035;S053;S063;S065;S072;S073;S083;S087;S097;S102;S107;S114;S116;S118;S121;S122;S123;S124;S127;S129;S135;S139;S148;S155;S167;S183;S185;S192;S193;S194;S201;S204;S205;S213;S218;S223;S227;S228;S238;S239;S240;S241;S242;S246;S259;S260;S262;S268;S274;S280;S285;S286;S287;S288;S289;S292;S296;S297;S298;S301;S310;S312;S315;S317;S332;S341;S342;S349;S351;S352
(Eam1105I) AND (BsiSI OR MspI),197_317,40_160,26.628418692,30.67,558.275,73.76,3.71239061200837,0.905883622054426,0.25|0.2,83,S011;S026;S028;S032;S034;S035;S037;S047;S048;S053;S057;S065;S066;S076;S083;S087;S088;S097;S102;S107;S113;S114;S116;S118;S121;S122;S124;S127;S129;S133;S141;S148;S155;S157;S183;S185;S192;S194;S201;S204;S207;S213;S218;S223;S227;S229;S238;S241;S242;S246;S254;S259;S260;S262;S267;S268;S269;S274;S275;S277;S283;S285;S286;S287;S289;S292;S296;S301;S310;S312;S313;S329;S334;S335;S338;S339;S342;S343;S346;S348;S349;S351;S352
